"","X","id","listing_url","host_id","host_url","host_name","host_since","host_location","host_response_time","host_response_rate","host_acceptance_rate","host_is_superhost","host_thumbnail_url","host_picture_url","host_neighbourhood","host_listings_count","host_total_listings_count","host_verifications","host_has_profile_pic","host_identity_verified","street","neighbourhood","neighbourhood_cleansed","neighbourhood_group_cleansed","city","state","zipcode","market","smart_location","country_code","country","latitude","longitude","is_location_exact","property_type","room_type","accommodates","bathrooms","bedrooms","beds","bed_type","square_feet","price","weekly_price","monthly_price","security_deposit","cleaning_fee","guests_included","extra_people","minimum_nights","maximum_nights","minimum_minimum_nights","maximum_minimum_nights","minimum_maximum_nights","maximum_maximum_nights","minimum_nights_avg_ntm","maximum_nights_avg_ntm","has_availability","availability_30","availability_60","availability_90","availability_365","calendar_last_scraped","number_of_reviews","number_of_reviews_ltm","first_review","last_review","review_scores_rating","review_scores_accuracy","review_scores_cleanliness","review_scores_checkin","review_scores_communication","review_scores_location","review_scores_value","jurisdiction_names","instant_bookable","is_business_travel_ready","cancellation_policy","require_guest_profile_picture","require_guest_phone_verification","calculated_host_listings_count","calculated_host_listings_count_entire_homes","calculated_host_listings_count_private_rooms","calculated_host_listings_count_shared_rooms","reviews_per_month","place"
"5323",11465,599325,"https://www.airbnb.com/rooms/599325",2964980,"https://www.airbnb.com/users/show/2964980","Sas","7/17/2012","Gent, Vlaams Gewest, Belgium","within a day","100%","81%","f","https://a0.muscache.com/im/users/2964980/profile_pic/1379514552/original.jpg?aki_policy=profile_small","https://a0.muscache.com/im/users/2964980/profile_pic/1379514552/original.jpg?aki_policy=profile_x_medium","",1,1,"['email', 'phone', 'reviews', 'jumio', 'government_id']","t","t","Ghent, Flemish Region, Belgium",NA,"Ledeberg",NA,"Ghent","Flemish Region","9050","Gent","Ghent, Belgium","BE","Belgium",51.03454,3.74631,"t","House","Private room",2,1,1,1,"Futon",NA,"$30.00 ","","","","",1,"$25.00 ",2,1125,2,2,1125,1125,2,1125,"t",20,31,31,198,"3/18/2020",112,6,"7/22/2012","3/11/2020",91,10,9,9,10,9,9,NA,"f","f","strict_14_with_grace_period","t","t",1,0,1,0,1.2,"Ghent"
"5324",11466,696209,"https://www.airbnb.com/rooms/696209",1328011,"https://www.airbnb.com/users/show/1328011","Jan","10/24/2011","Gent, Vlaams Gewest, Belgium","within a few hours","100%","85%","f","https://a0.muscache.com/im/users/1328011/profile_pic/1319575091/original.jpg?aki_policy=profile_small","https://a0.muscache.com/im/users/1328011/profile_pic/1319575091/original.jpg?aki_policy=profile_x_medium","",4,4,"['email', 'phone', 'reviews', 'jumio', 'offline_government_id', 'selfie', 'government_id', 'identity_manual', 'work_email']","t","t","Ghent, Flanders, Belgium",NA,"Elisabethbegijnhof - Papegaai",NA,"Ghent","Flanders","9000","Gent","Ghent, Belgium","BE","Belgium",51.05021,3.71624,"t","Apartment","Entire home/apt",2,1,0,1,"Real Bed",NA,"$75.00 ","$395.00 ","$849.00 ","$850.00 ","$100.00 ",1,"$0.00 ",6,200,6,6,200,200,6,200,"t",28,58,88,363,"3/18/2020",32,4,"1/23/2013","2/22/2020",98,10,10,10,10,10,9,NA,"f","f","strict_14_with_grace_period","t","f",4,4,0,0,0.37,"Ghent"
"5325",11467,743981,"https://www.airbnb.com/rooms/743981",1328011,"https://www.airbnb.com/users/show/1328011","Jan","10/24/2011","Gent, Vlaams Gewest, Belgium","within a few hours","100%","85%","f","https://a0.muscache.com/im/users/1328011/profile_pic/1319575091/original.jpg?aki_policy=profile_small","https://a0.muscache.com/im/users/1328011/profile_pic/1319575091/original.jpg?aki_policy=profile_x_medium","",4,4,"['email', 'phone', 'reviews', 'jumio', 'offline_government_id', 'selfie', 'government_id', 'identity_manual', 'work_email']","t","t","Ghent, Flanders, Belgium",NA,"Elisabethbegijnhof - Papegaai",NA,"Ghent","Flanders","9000","Gent","Ghent, Belgium","BE","Belgium",51.05021,3.71624,"t","Apartment","Entire home/apt",2,1,0,1,"Real Bed",269,"$75.00 ","$395.00 ","$849.00 ","$850.00 ","$100.00 ",1,"$0.00 ",6,200,6,6,200,200,6,200,"t",0,0,0,260,"3/18/2020",18,2,"5/1/2013","2/10/2020",96,10,10,10,10,9,9,NA,"f","f","strict_14_with_grace_period","t","f",4,4,0,0,0.21,"Ghent"
"5326",11468,769351,"https://www.airbnb.com/rooms/769351",4058153,"https://www.airbnb.com/users/show/4058153","Leen","11/4/2012","Gent, Vlaams Gewest, Belgium","N/A","N/A","56%","f","https://a0.muscache.com/im/pictures/user/5530710d-6395-4822-815f-eac732bb31e7.jpg?aki_policy=profile_small","https://a0.muscache.com/im/pictures/user/5530710d-6395-4822-815f-eac732bb31e7.jpg?aki_policy=profile_x_medium","",0,0,"['email', 'phone', 'facebook', 'reviews', 'jumio', 'offline_government_id', 'government_id']","t","f","Ghent, Flemish Region, Belgium",NA,"Mariakerke",NA,"Ghent","Flemish Region","9030","Gent","Ghent, Belgium","BE","Belgium",51.07862,3.69008,"t","House","Entire home/apt",4,2.5,3,3,"Real Bed",NA,"$80.00 ","$140.00 ","$500.00 ","","",1,"$0.00 ",1,90,1,1,90,90,1,90,"t",0,0,0,0,"3/18/2020",12,2,"1/2/2013","7/20/2019",92,10,9,9,10,10,10,NA,"f","f","flexible","f","f",1,1,0,0,0.14,"Ghent"
"5327",11469,778353,"https://www.airbnb.com/rooms/778353",4104245,"https://www.airbnb.com/users/show/4104245","Carina","11/9/2012","Gent, Vlaams Gewest, Belgium","within an hour","100%","67%","f","https://a0.muscache.com/im/users/4104245/profile_pic/1352488200/original.jpg?aki_policy=profile_small","https://a0.muscache.com/im/users/4104245/profile_pic/1352488200/original.jpg?aki_policy=profile_x_medium","",1,1,"['email', 'phone', 'facebook', 'reviews']","t","f","Ghent, Flemish Region, Belgium",NA,"Oud Gentbrugge",NA,"Ghent","Flemish Region","9050","Gent","Ghent, Belgium","BE","Belgium",51.04177,3.74516,"t","Townhouse","Private room",2,1,1,1,"Real Bed",NA,"$24.00 ","$69.00 ","","$400.00 ","$16.00 ",1,"$20.00 ",2,60,2,2,1125,1125,2,1125,"t",0,21,51,326,"3/18/2020",17,0,"12/26/2012","2/24/2019",77,8,7,9,10,8,8,NA,"f","f","strict_14_with_grace_period","f","f",1,0,1,0,0.19,"Ghent"
"5328",11471,835795,"https://www.airbnb.com/rooms/835795",4369972,"https://www.airbnb.com/users/show/4369972","Koestraat 46","12/10/2012","Drongen, Flanders, Belgium","within a few hours","100%","100%","t","https://a0.muscache.com/im/users/4369972/profile_pic/1355146255/original.jpg?aki_policy=profile_small","https://a0.muscache.com/im/users/4369972/profile_pic/1355146255/original.jpg?aki_policy=profile_x_medium","",1,1,"['email', 'phone', 'reviews', 'offline_government_id', 'selfie', 'government_id', 'identity_manual']","t","f","Ghent, Flemish Region, Belgium",NA,"Binnenstad",NA,"Ghent","Flemish Region","9000","Gent","Ghent, Belgium","BE","Belgium",51.05343,3.73002,"t","Loft","Entire home/apt",4,1.5,1,2,"Real Bed",NA,"$100.00 ","$480.00 ","$1,500.00 ","$200.00 ","$0.00 ",2,"$20.00 ",2,1125,2,2,1125,1125,2,1125,"t",30,49,51,304,"3/18/2020",267,56,"3/11/2013","3/9/2020",95,10,10,10,10,10,10,NA,"f","f","strict_14_with_grace_period","f","f",1,1,0,0,3.12,"Ghent"
"5329",11472,845854,"https://www.airbnb.com/rooms/845854",3685113,"https://www.airbnb.com/users/show/3685113","Bruno","9/26/2012","Gent, Vlaams Gewest, Belgium","N/A","N/A","N/A","f","https://a0.muscache.com/im/users/3685113/profile_pic/1359406297/original.jpg?aki_policy=profile_small","https://a0.muscache.com/im/users/3685113/profile_pic/1359406297/original.jpg?aki_policy=profile_x_medium","",1,1,"['email', 'phone', 'facebook', 'reviews', 'jumio', 'offline_government_id', 'selfie', 'government_id', 'identity_manual', 'work_email']","t","f","Ghent, Flemish Region, Belgium",NA,"Macharius - Heirnis",NA,"Ghent","Flemish Region","9000","Gent","Ghent, Belgium","BE","Belgium",51.0543,3.73527,"t","Apartment","Entire home/apt",4,1,1,1,"Real Bed",NA,"$85.00 ","$540.00 ","$1,600.00 ","$400.00 ","$40.00 ",2,"$10.00 ",4,30,4,4,30,30,4,30,"t",0,0,0,0,"3/18/2020",14,0,"12/31/2012","7/20/2016",97,10,9,10,10,10,9,NA,"f","f","strict_14_with_grace_period","f","f",1,1,0,0,0.16,"Ghent"
"5330",11473,878177,"https://www.airbnb.com/rooms/878177",4640769,"https://www.airbnb.com/users/show/4640769","Geertje","1/9/2013","Ghent, Flanders, Belgium","within an hour","89%","100%","t","https://a0.muscache.com/im/pictures/user/979bbbbd-3a1c-491c-a877-9f4b019e2d25.jpg?aki_policy=profile_small","https://a0.muscache.com/im/pictures/user/979bbbbd-3a1c-491c-a877-9f4b019e2d25.jpg?aki_policy=profile_x_medium","",1,1,"['email', 'phone', 'facebook', 'reviews', 'jumio', 'offline_government_id', 'selfie', 'government_id', 'identity_manual']","t","f","Ghent, Flemish Region, Belgium",NA,"Elisabethbegijnhof - Papegaai",NA,"Ghent","Flemish Region","9000","Gent","Ghent, Belgium","BE","Belgium",51.05153,3.71807,"t","Bed and breakfast","Private room",2,1,1,1,"Real Bed",NA,"$55.00 ","$400.00 ","$1,250.00 ","$0.00 ","$0.00 ",1,"$25.00 ",2,1125,2,2,1125,1125,2,1125,"t",0,0,0,17,"3/18/2020",13,13,"3/24/2019","3/1/2020",100,10,10,10,10,10,10,NA,"t","f","flexible","f","f",1,0,1,0,1.08,"Ghent"
"5331",11474,879417,"https://www.airbnb.com/rooms/879417",1003009,"https://www.airbnb.com/users/show/1003009","Nele","8/22/2011","Gent, Vlaams Gewest, Belgium","within a day","100%","72%","f","https://a0.muscache.com/im/users/1003009/profile_pic/1357806159/original.jpg?aki_policy=profile_small","https://a0.muscache.com/im/users/1003009/profile_pic/1357806159/original.jpg?aki_policy=profile_x_medium","",2,2,"['email', 'phone', 'reviews']","t","f","Ghent, Flemish Region, Belgium",NA,"Binnenstad",NA,"Ghent","Flemish Region","9000","Gent","Ghent, Belgium","BE","Belgium",51.0578,3.72622,"t","Apartment","Entire home/apt",5,1,2,3,"Real Bed",NA,"$155.00 ","","","","",4,"$20.00 ",2,21,2,2,21,21,2,21,"t",23,38,45,45,"3/18/2020",9,4,"11/16/2013","8/16/2019",98,10,10,10,9,10,9,NA,"f","f","strict_14_with_grace_period","f","t",2,2,0,0,0.12,"Ghent"
"5332",11475,887716,"https://www.airbnb.com/rooms/887716",1328011,"https://www.airbnb.com/users/show/1328011","Jan","10/24/2011","Gent, Vlaams Gewest, Belgium","within a few hours","100%","85%","f","https://a0.muscache.com/im/users/1328011/profile_pic/1319575091/original.jpg?aki_policy=profile_small","https://a0.muscache.com/im/users/1328011/profile_pic/1319575091/original.jpg?aki_policy=profile_x_medium","",4,4,"['email', 'phone', 'reviews', 'jumio', 'offline_government_id', 'selfie', 'government_id', 'identity_manual', 'work_email']","t","t","Ghent, Flanders, Belgium",NA,"Elisabethbegijnhof - Papegaai",NA,"Ghent","Flanders","9000","Gent","Ghent, Belgium","BE","Belgium",51.05021,3.71624,"t","Apartment","Entire home/apt",2,1,1,1,"Real Bed",323,"$75.00 ","$370.00 ","$760.00 ","$850.00 ","$100.00 ",1,"$0.00 ",6,200,6,6,200,200,6,200,"t",26,35,51,326,"3/18/2020",7,2,"9/23/2017","1/3/2020",97,9,10,10,9,9,9,NA,"f","f","strict_14_with_grace_period","t","f",4,4,0,0,0.23,"Ghent"
"5333",11476,924683,"https://www.airbnb.com/rooms/924683",4974034,"https://www.airbnb.com/users/show/4974034","Carmen","2/5/2013","Gent, Vlaams Gewest, Belgium","within an hour","100%","95%","t","https://a0.muscache.com/im/pictures/user/352d8c61-ddf7-422e-b9ca-94fc7170e4b0.jpg?aki_policy=profile_small","https://a0.muscache.com/im/pictures/user/352d8c61-ddf7-422e-b9ca-94fc7170e4b0.jpg?aki_policy=profile_x_medium","",3,3,"['email', 'phone', 'facebook', 'reviews', 'jumio', 'offline_government_id', 'government_id']","t","f","Ghent, Flanders, Belgium",NA,"Elisabethbegijnhof - Papegaai",NA,"Ghent","Flanders","9000","Gent","Ghent, Belgium","BE","Belgium",51.05353,3.71675,"t","Apartment","Entire home/apt",2,1,1,1,"Real Bed",0,"$58.00 ","","","$0.00 ","$55.00 ",2,"$10.00 ",2,365,2,2,365,365,2,365,"t",24,41,60,286,"3/18/2020",326,49,"2/27/2013","3/9/2020",98,10,10,10,10,10,10,NA,"f","f","strict_14_with_grace_period","f","f",2,2,0,0,3.8,"Ghent"
"5334",11477,944573,"https://www.airbnb.com/rooms/944573",5114342,"https://www.airbnb.com/users/show/5114342","Kurt","2/17/2013","Ghent, Flanders, Belgium","within an hour","100%","100%","f","https://a0.muscache.com/im/users/5114342/profile_pic/1361101490/original.jpg?aki_policy=profile_small","https://a0.muscache.com/im/users/5114342/profile_pic/1361101490/original.jpg?aki_policy=profile_x_medium","",1,1,"['email', 'phone', 'reviews', 'jumio', 'government_id']","t","t","Ghent, Flemish Region, Belgium",NA,"Bloemekenswijk",NA,"Ghent","Flemish Region","9000","Gent","Ghent, Belgium","BE","Belgium",51.07052,3.70806,"t","House","Entire home/apt",4,1,2,2,"Real Bed",NA,"$120.00 ","$700.00 ","","","",1,"$0.00 ",2,60,2,2,1125,1125,2,1125,"t",24,39,57,313,"3/18/2020",19,4,"11/7/2013","2/18/2020",85,8,9,10,9,8,9,NA,"t","f","moderate","f","f",1,1,0,0,0.25,"Ghent"
"5335",11478,950284,"https://www.airbnb.com/rooms/950284",5155260,"https://www.airbnb.com/users/show/5155260","Mieke","2/20/2013","Ghent, Flanders, Belgium","N/A","N/A","N/A","f","https://a0.muscache.com/im/pictures/user/a27afe83-d398-40e0-9fee-08a2a21e4539.jpg?aki_policy=profile_small","https://a0.muscache.com/im/pictures/user/a27afe83-d398-40e0-9fee-08a2a21e4539.jpg?aki_policy=profile_x_medium","",1,1,"['email', 'phone', 'reviews', 'jumio', 'government_id']","t","t","Ghent, Flemish Region, Belgium",NA,"Sluizeken - Tolhuis - Ham",NA,"Ghent","Flemish Region","9000","Gent","Ghent, Belgium","BE","Belgium",51.06266,3.73218,"t","Tiny house","Private room",2,1,1,1,"Real Bed",NA,"$135.00 ","","","","",1,"$0.00 ",2,5,2,2,5,5,2,5,"t",0,0,2,2,"3/18/2020",5,0,"10/10/2013","11/11/2014",100,10,10,10,10,9,10,NA,"t","f","strict_14_with_grace_period","f","f",1,0,1,0,0.06,"Ghent"
"5336",11479,1018048,"https://www.airbnb.com/rooms/1018048",5600970,"https://www.airbnb.com/users/show/5600970","Johan","3/24/2013","Gent, Vlaams Gewest, Belgium","within an hour","100%","100%","t","https://a0.muscache.com/im/pictures/user/3ccd3591-edd6-4c31-87a9-99faa2b89c65.jpg?aki_policy=profile_small","https://a0.muscache.com/im/pictures/user/3ccd3591-edd6-4c31-87a9-99faa2b89c65.jpg?aki_policy=profile_x_medium","",1,1,"['email', 'phone', 'facebook', 'reviews', 'jumio', 'offline_government_id', 'government_id']","t","t","Ghent, Oost Vlaanderen, Belgium",NA,"Sluizeken - Tolhuis - Ham",NA,"Ghent","Oost Vlaanderen","9000","Gent","Ghent, Belgium","BE","Belgium",51.0591,3.7193,"t","Apartment","Entire home/apt",3,1,1,4,"Real Bed",0,"$44.00 ","$325.00 ","$950.00 ","$250.00 ","$25.00 ",2,"$18.00 ",1,90,1,2,1125,1125,1.4,1125,"t",24,30,32,198,"3/18/2020",579,106,"4/2/2014","3/10/2020",96,10,10,10,10,10,10,NA,"t","f","strict_14_with_grace_period","f","f",1,1,0,0,7.98,"Ghent"
