"","X","id","listing_url","host_id","host_url","host_name","host_since","host_location","host_response_time","host_response_rate","host_acceptance_rate","host_is_superhost","host_thumbnail_url","host_picture_url","host_neighbourhood","host_listings_count","host_total_listings_count","host_verifications","host_has_profile_pic","host_identity_verified","street","neighbourhood","neighbourhood_cleansed","neighbourhood_group_cleansed","city","state","zipcode","market","smart_location","country_code","country","latitude","longitude","is_location_exact","property_type","room_type","accommodates","bathrooms","bedrooms","beds","bed_type","square_feet","price","weekly_price","monthly_price","security_deposit","cleaning_fee","guests_included","extra_people","minimum_nights","maximum_nights","minimum_minimum_nights","maximum_minimum_nights","minimum_maximum_nights","maximum_maximum_nights","minimum_nights_avg_ntm","maximum_nights_avg_ntm","has_availability","availability_30","availability_60","availability_90","availability_365","calendar_last_scraped","number_of_reviews","number_of_reviews_ltm","first_review","last_review","review_scores_rating","review_scores_accuracy","review_scores_cleanliness","review_scores_checkin","review_scores_communication","review_scores_location","review_scores_value","jurisdiction_names","instant_bookable","is_business_travel_ready","cancellation_policy","require_guest_profile_picture","require_guest_phone_verification","calculated_host_listings_count","calculated_host_listings_count_entire_homes","calculated_host_listings_count_private_rooms","calculated_host_listings_count_shared_rooms","reviews_per_month","place"
"11",11,522693,"https://www.airbnb.com/rooms/522693",2562294,"https://www.airbnb.com/users/show/2562294","Ahome","6/6/2012","Antwerpen, Flemish Region, Belgium","N/A","N/A","N/A","f","https://a0.muscache.com/im/pictures/user/b4ac798f-3c30-4a30-ba6d-fe206c528dda.jpg?aki_policy=profile_small","https://a0.muscache.com/im/pictures/user/b4ac798f-3c30-4a30-ba6d-fe206c528dda.jpg?aki_policy=profile_x_medium","",1,1,"['email', 'phone']","t","f","Antwerp, Flemish Region, Belgium",NA,"Historisch Centrum",NA,"Antwerpen","Flemish Region","2000","Antwerp","Antwerp, Belgium","BE","Belgium",51.22001,4.39813,"t","Apartment","Entire home/apt",4,1,1,2,"Real Bed",NA,"$195.00 ","$740.00 ","","$500.00 ","$150.00 ",1,"$50.00 ",2,21,2,2,21,21,2,21,"t",30,60,90,365,"3/21/2020",2,0,"11/10/2015","10/27/2017",NA,NA,NA,NA,NA,NA,NA,NA,"t","f","flexible","f","f",1,1,0,0,0.04,"Antwerp"
"12",12,553618,"https://www.airbnb.com/rooms/553618",2283505,"https://www.airbnb.com/users/show/2283505","Kevin","5/3/2012","Antwerpen, Vlaams Gewest, Belgium","within a day","100%","0%","f","https://a0.muscache.com/im/users/2283505/profile_pic/1340476113/original.jpg?aki_policy=profile_small","https://a0.muscache.com/im/users/2283505/profile_pic/1340476113/original.jpg?aki_policy=profile_x_medium","",1,1,"['email', 'phone', 'reviews', 'jumio', 'selfie', 'government_id', 'identity_manual', 'work_email']","t","f","Antwerp, Flemish Region, Belgium",NA,"Eilandje",NA,"Antwerpen","Flemish Region","2000","Antwerp","Antwerp, Belgium","BE","Belgium",51.23183,4.40478,"t","Loft","Entire home/apt",2,1,1,1,"Real Bed",NA,"$150.00 ","$750.00 ","$2,500.00 ","$150.00 ","$65.00 ",2,"$0.00 ",2,1125,2,2,1125,1125,2,1125,"t",30,60,90,365,"3/21/2020",2,0,"8/8/2013","12/12/2013",94,10,10,10,8,8,10,NA,"f","f","moderate","f","f",1,1,0,0,0.02,"Antwerp"
"13",13,569956,"https://www.airbnb.com/rooms/569956",2804839,"https://www.airbnb.com/users/show/2804839","Nele","7/2/2012","Antwerpen, Vlaams Gewest, Belgium","N/A","N/A","92%","f","https://a0.muscache.com/im/users/2804839/profile_pic/1341235322/original.jpg?aki_policy=profile_small","https://a0.muscache.com/im/users/2804839/profile_pic/1341235322/original.jpg?aki_policy=profile_x_medium","",2,2,"['email', 'phone', 'reviews', 'manual_offline', 'jumio', 'government_id']","t","t","Antwerp, Flemish Region, Belgium",NA,"Historisch Centrum",NA,"Antwerpen","Flemish Region","2000","Antwerp","Antwerp, Belgium","BE","Belgium",51.22397,4.40464,"t","Apartment","Entire home/apt",2,1.5,1,1,"Pull-out Sofa",NA,"$60.00 ","$300.00 ","$900.00 ","$90.00 ","$20.00 ",1,"$20.00 ",2,31,2,2,31,31,2,31,"t",0,0,0,0,"3/21/2020",7,2,"7/17/2014","8/28/2019",100,9,10,10,10,9,10,NA,"f","f","moderate","f","f",2,2,0,0,0.1,"Antwerp"
"14",14,573641,"https://www.airbnb.com/rooms/573641",2822632,"https://www.airbnb.com/users/show/2822632","Ariane","7/3/2012","Antwerpen, Vlaams Gewest, Belgium","within an hour","100%","64%","f","https://a0.muscache.com/im/users/2822632/profile_pic/1427565164/original.jpg?aki_policy=profile_small","https://a0.muscache.com/im/users/2822632/profile_pic/1427565164/original.jpg?aki_policy=profile_x_medium","",3,3,"['email', 'phone', 'reviews']","t","f","Antwerp, Flemish Region, Belgium",NA,"Hoogte",NA,"Antwerpen","Flemish Region","2610","Antwerp","Antwerp, Belgium","BE","Belgium",51.18187,4.39381,"t","Apartment","Entire home/apt",2,1,1,1,"Real Bed",NA,"$98.00 ","$650.00 ","$1,800.00 ","$400.00 ","$40.00 ",2,"$10.00 ",3,90,3,3,90,90,3,90,"t",0,0,12,287,"3/21/2020",21,0,"8/17/2012","2/26/2019",95,10,9,10,10,9,9,NA,"f","f","strict_14_with_grace_period","f","f",2,2,0,0,0.23,"Antwerp"
"15",15,575935,"https://www.airbnb.com/rooms/575935",1128692,"https://www.airbnb.com/users/show/1128692","Larissa","9/8/2011","Antwerp, Flanders, Belgium","within an hour","100%","93%","t","https://a0.muscache.com/im/users/1128692/profile_pic/1386337940/original.jpg?aki_policy=profile_small","https://a0.muscache.com/im/users/1128692/profile_pic/1386337940/original.jpg?aki_policy=profile_x_medium","",4,4,"['email', 'phone', 'reviews', 'offline_government_id', 'selfie', 'government_id']","t","t","Antwerp, Flemish Region, Belgium",NA,"Hoogte",NA,"Antwerpen","Flemish Region","2610","Antwerp","Antwerp, Belgium","BE","Belgium",51.18152,4.39463,"t","Apartment","Private room",4,1,2,2,"Real Bed",NA,"$60.00 ","$250.00 ","$850.00 ","$300.00 ","$30.00 ",2,"$30.00 ",2,200,2,2,200,200,2,200,"t",29,59,89,364,"3/21/2020",36,9,"7/31/2012","3/8/2020",96,10,10,10,10,10,9,NA,"f","f","strict_14_with_grace_period","f","f",1,0,1,0,0.39,"Antwerp"
"16",16,603545,"https://www.airbnb.com/rooms/603545",2987880,"https://www.airbnb.com/users/show/2987880","Serge","7/19/2012","Antwerpen, Vlaams Gewest, Belgium","within an hour","100%","88%","t","https://a0.muscache.com/im/users/2987880/profile_pic/1365038765/original.jpg?aki_policy=profile_small","https://a0.muscache.com/im/users/2987880/profile_pic/1365038765/original.jpg?aki_policy=profile_x_medium","",1,1,"['email', 'phone', 'reviews', 'jumio', 'government_id']","t","t","Antwerp, Flanders, Belgium",NA,"Harmonie",NA,"Antwerpen","Flanders","2018","Antwerp","Antwerp, Belgium","BE","Belgium",51.20753,4.40589,"t","Loft","Entire home/apt",2,1,1,1,"Real Bed",915,"$150.00 ","$590.00 ","$1,590.00 ","$400.00 ","$100.00 ",1,"$7.00 ",2,365,2,2,365,365,2,365,"t",16,46,76,351,"3/21/2020",20,6,"12/16/2012","3/16/2020",95,10,10,10,10,10,9,NA,"f","f","moderate","t","t",1,1,0,0,0.23,"Antwerp"
"17",17,636664,"https://www.airbnb.com/rooms/636664",462975,"https://www.airbnb.com/users/show/462975","Els","3/25/2011","Edegem, Vlaams Gewest, Belgium","within an hour","100%","79%","t","https://a0.muscache.com/im/users/462975/profile_pic/1344271386/original.jpg?aki_policy=profile_small","https://a0.muscache.com/im/users/462975/profile_pic/1344271386/original.jpg?aki_policy=profile_x_medium","",1,1,"['email', 'phone', 'reviews', 'offline_government_id', 'selfie', 'government_id', 'identity_manual']","t","f","Antwerp, Flemish Region, Belgium",NA,"Borgerhout Intra Muros Zuid",NA,"Antwerpen","Flemish Region","2140","Antwerp","Antwerp, Belgium","BE","Belgium",51.21618,4.43037,"t","Apartment","Entire home/apt",5,1,2,3,"Real Bed",807,"$85.00 ","$600.00 ","$1,400.00 ","","$30.00 ",2,"$20.00 ",2,365,2,2,365,365,2,365,"t",30,60,90,365,"3/21/2020",80,9,"9/6/2012","3/9/2020",88,9,9,10,10,9,9,NA,"f","f","moderate","f","t",1,1,0,0,0.87,"Antwerp"
"18",18,639013,"https://www.airbnb.com/rooms/639013",3189018,"https://www.airbnb.com/users/show/3189018","Cathy","8/7/2012","Antwerpen, Vlaams Gewest, Belgium","within an hour","86%","91%","f","https://a0.muscache.com/im/users/3189018/profile_pic/1344379418/original.jpg?aki_policy=profile_small","https://a0.muscache.com/im/users/3189018/profile_pic/1344379418/original.jpg?aki_policy=profile_x_medium","",3,3,"['email', 'phone', 'reviews', 'jumio', 'offline_government_id', 'government_id']","t","t","Antwerp, Flemish Region, Belgium",NA,"Borgerhout Intra Muros Noord",NA,"Antwerpen","Flemish Region","2140","Antwerp","Antwerp, Belgium","BE","Belgium",51.21748,4.4456,"t","Townhouse","Private room",2,1.5,1,1,"Real Bed",NA,"$85.00 ","$350.00 ","$950.00 ","$100.00 ","$20.00 ",2,"$0.00 ",2,4,2,2,4,4,2,4,"t",0,0,0,233,"3/21/2020",34,0,"8/27/2012","7/22/2018",93,9,9,10,10,8,8,NA,"f","f","strict_14_with_grace_period","f","f",3,1,2,0,0.37,"Antwerp"
"19",19,685049,"https://www.airbnb.com/rooms/685049",3493319,"https://www.airbnb.com/users/show/3493319","Glenn","9/6/2012","Antwerpen, Vlaams Gewest, Belgium","within an hour","100%","60%","f","https://a0.muscache.com/im/users/3493319/profile_pic/1375910135/original.jpg?aki_policy=profile_small","https://a0.muscache.com/im/users/3493319/profile_pic/1375910135/original.jpg?aki_policy=profile_x_medium","",2,2,"['email', 'phone', 'reviews', 'jumio', 'offline_government_id', 'selfie', 'government_id', 'identity_manual']","t","f","Antwerp, Flemish Region, Belgium",NA,"Oud - Berchem",NA,"Antwerpen","Flemish Region","2600","Antwerp","Antwerp, Belgium","BE","Belgium",51.19589,4.41443,"t","House","Private room",3,1,1,1,"Real Bed",NA,"$65.00 ","$450.00 ","","$400.00 ","$10.00 ",2,"$35.00 ",2,21,2,2,21,21,2,21,"t",29,59,89,364,"3/21/2020",5,2,"7/12/2014","2/24/2020",93,10,9,10,9,9,9,NA,"f","f","flexible","f","f",2,0,2,0,0.07,"Antwerp"
"20",20,685053,"https://www.airbnb.com/rooms/685053",3493319,"https://www.airbnb.com/users/show/3493319","Glenn","9/6/2012","Antwerpen, Vlaams Gewest, Belgium","within an hour","100%","60%","f","https://a0.muscache.com/im/users/3493319/profile_pic/1375910135/original.jpg?aki_policy=profile_small","https://a0.muscache.com/im/users/3493319/profile_pic/1375910135/original.jpg?aki_policy=profile_x_medium","",2,2,"['email', 'phone', 'reviews', 'jumio', 'offline_government_id', 'selfie', 'government_id', 'identity_manual']","t","f","Antwerp, Flemish Region, Belgium",NA,"Oud - Berchem",NA,"Antwerpen","Flemish Region","2600","Antwerp","Antwerp, Belgium","BE","Belgium",51.19482,4.41339,"t","House","Private room",3,1,1,2,"Real Bed",NA,"$120.00 ","","","$500.00 ","$10.00 ",2,"$25.00 ",2,1125,2,2,1125,1125,2,1125,"t",0,0,0,0,"3/21/2020",0,0,"","",NA,NA,NA,NA,NA,NA,NA,NA,"f","f","strict_14_with_grace_period","f","f",2,0,2,0,NA,"Antwerp"
"21",21,723033,"https://www.airbnb.com/rooms/723033",3734348,"https://www.airbnb.com/users/show/3734348","Sylvia","10/2/2012","Antwerpen, Vlaams Gewest, Belgium","within an hour","100%","94%","t","https://a0.muscache.com/im/users/3734348/profile_pic/1421661607/original.jpg?aki_policy=profile_small","https://a0.muscache.com/im/users/3734348/profile_pic/1421661607/original.jpg?aki_policy=profile_x_medium","",1,1,"['email', 'phone', 'facebook', 'reviews', 'jumio', 'government_id']","t","t","Antwerp, Flemish Region, Belgium",NA,"Stadspark",NA,"Antwerpen","Flemish Region","2018","Antwerp","Antwerp, Belgium","BE","Belgium",51.20955,4.41481,"t","Apartment","Entire home/apt",6,1,1,6,"Real Bed",NA,"$60.00 ","$490.00 ","","$150.00 ","$35.00 ",2,"$25.00 ",2,30,2,2,30,30,2,30,"t",21,35,63,274,"3/21/2020",244,41,"10/28/2012","3/8/2020",91,10,10,10,10,10,10,NA,"f","f","moderate","f","f",1,1,0,0,2.71,"Antwerp"
"22",22,746729,"https://www.airbnb.com/rooms/746729",3888321,"https://www.airbnb.com/users/show/3888321","Vincent","10/16/2012","Antwerp, Flanders, Belgium","a few days or more","44%","61%","f","https://a0.muscache.com/im/users/3888321/profile_pic/1355076597/original.jpg?aki_policy=profile_small","https://a0.muscache.com/im/users/3888321/profile_pic/1355076597/original.jpg?aki_policy=profile_x_medium","",1,1,"['email', 'phone', 'reviews', 'offline_government_id', 'selfie', 'government_id', 'identity_manual']","t","f","Antwerp, Flanders, Belgium",NA,"Markgrave",NA,"Antwerpen","Flanders","2018","Antwerp","Antwerp, Belgium","BE","Belgium",51.19536,4.40806,"t","House","Private room",4,1,2,3,"Real Bed",NA,"$75.00 ","$500.00 ","","","$15.00 ",2,"$35.00 ",1,5,1,1,5,5,1,5,"t",28,58,88,359,"3/21/2020",167,17,"9/23/2013","2/9/2020",98,10,10,10,10,10,10,NA,"f","f","flexible","f","f",1,0,1,0,2.11,"Antwerp"
"23",23,772842,"https://www.airbnb.com/rooms/772842",4050173,"https://www.airbnb.com/users/show/4050173","Daisy","11/3/2012","Antwerpen, Vlaams Gewest, Belgium","within a few hours","100%","0%","f","https://a0.muscache.com/im/pictures/user/5922b95d-7886-4ba5-99c1-d02ebdbae17e.jpg?aki_policy=profile_small","https://a0.muscache.com/im/pictures/user/5922b95d-7886-4ba5-99c1-d02ebdbae17e.jpg?aki_policy=profile_x_medium","",1,1,"['email', 'phone', 'facebook', 'reviews', 'jumio', 'offline_government_id', 'selfie', 'government_id', 'identity_manual']","t","f","Antwerp, Flemish Region, Belgium",NA,"Linkeroever",NA,"Antwerpen","Flemish Region","2050","Antwerp","Antwerp, Belgium","BE","Belgium",51.21775,4.38434,"t","Loft","Entire home/apt",2,1,1,1,"Real Bed",646,"$75.00 ","$482.00 ","$1,701.00 ","$500.00 ","$85.00 ",1,"$0.00 ",7,1125,2,7,1125,1125,5.6,1125,"t",0,0,0,259,"3/21/2020",66,0,"1/4/2013","6/1/2018",87,9,9,9,9,9,9,NA,"f","f","strict_14_with_grace_period","t","t",1,1,0,0,0.75,"Antwerp"
"24",24,778043,"https://www.airbnb.com/rooms/778043",1735092,"https://www.airbnb.com/users/show/1735092","Marc & Elizabeth","2/11/2012","Antwerp, Vlaams Gewest, Belgium","within an hour","100%","94%","f","https://a0.muscache.com/im/users/1735092/profile_pic/1360353361/original.jpg?aki_policy=profile_small","https://a0.muscache.com/im/users/1735092/profile_pic/1360353361/original.jpg?aki_policy=profile_x_medium","",1,1,"['email', 'phone', 'reviews', 'jumio', 'offline_government_id', 'selfie', 'government_id']","t","t","Antwerp, Flemish Region, Belgium",NA,"Stadspark",NA,"Antwerpen","Flemish Region","2018","Antwerp","Antwerp, Belgium","BE","Belgium",51.20399,4.41249,"t","Apartment","Entire home/apt",2,1.5,1,1,"Real Bed",0,"$65.00 ","$450.00 ","","$200.00 ","$30.00 ",1,"$0.00 ",2,21,2,2,21,21,2,21,"t",29,59,83,355,"3/21/2020",62,9,"12/30/2012","1/1/2020",92,9,9,10,10,9,9,NA,"f","f","strict_14_with_grace_period","f","t",1,1,0,0,0.7,"Antwerp"
